"st_fips","state","estimate","moe","year","sex","age"
1,"Alabama",32896,3278,2021,"M","21"
1,"Alabama",90846,4401,2021,"M","22-24"
1,"Alabama",158157,3901,2021,"M","25-29"
1,"Alabama",153644,4497,2021,"M","30-34"
1,"Alabama",150970,5983,2021,"M","35-39"
1,"Alabama",163681,6352,2021,"M","40-44"
1,"Alabama",144396,3256,2021,"M","45-49"
1,"Alabama",156348,2478,2021,"M","50-54"
1,"Alabama",164793,5118,2021,"M","55-59"
1,"Alabama",66387,3847,2021,"M","60-61"
1,"Alabama",95462,4221,2021,"M","62-64"
1,"Alabama",59694,3632,2021,"M","65-66"
1,"Alabama",72401,3643,2021,"M","67-69"
1,"Alabama",117433,4474,2021,"M","70-74"
1,"Alabama",70083,3360,2021,"M","75-79"
1,"Alabama",42140,3028,2021,"M","80-84"
1,"Alabama",27482,2112,2021,"M","85+"
1,"Alabama",140609,3269,2021,"F","00-04"
1,"Alabama",143754,5837,2021,"F","05-09"
1,"Alabama",169381,6769,2021,"F","10-14"
1,"Alabama",95695,3309,2021,"F","15-17"
1,"Alabama",74402,3409,2021,"F","18-19"
1,"Alabama",37811,4062,2021,"F","20"
1,"Alabama",33374,3728,2021,"F","21"
1,"Alabama",90818,4566,2021,"F","22-24"
1,"Alabama",156059,3326,2021,"F","25-29"
1,"Alabama",165723,3641,2021,"F","30-34"
1,"Alabama",160065,5992,2021,"F","35-39"
1,"Alabama",162924,6040,2021,"F","40-44"
1,"Alabama",157010,3031,2021,"F","45-49"
1,"Alabama",160616,2319,2021,"F","50-54"
1,"Alabama",168799,4623,2021,"F","55-59"
1,"Alabama",71550,3809,2021,"F","60-61"
1,"Alabama",108815,4517,2021,"F","62-64"
1,"Alabama",65406,3765,2021,"F","65-66"
1,"Alabama",93405,4146,2021,"F","67-69"
1,"Alabama",131884,4519,2021,"F","70-74"
1,"Alabama",89173,3606,2021,"F","75-79"
1,"Alabama",62434,3856,2021,"F","80-84"
1,"Alabama",54274,3460,2021,"F","85+"
1,"Alabama",5039877,NA,2021,NA,"total"
1,"Alabama",146169,3134,2022,"M","00-04"
1,"Alabama",158767,6029,2022,"M","05-09"
1,"Alabama",164578,5689,2022,"M","10-14"
1,"Alabama",97834,3029,2022,"M","15-17"
1,"Alabama",70450,2897,2022,"M","18-19"
1,"Alabama",42597,4156,2022,"M","20"
1,"Alabama",34623,3440,2022,"M","21"
1,"Alabama",97373,4627,2022,"M","22-24"
1,"Alabama",159971,3806,2022,"M","25-29"
1,"Alabama",162451,3479,2022,"M","30-34"
1,"Alabama",150488,5898,2022,"M","35-39"
1,"Alabama",157660,6184,2022,"M","40-44"
1,"Alabama",144058,3848,2022,"M","45-49"
1,"Alabama",156051,2949,2022,"M","50-54"
1,"Alabama",155149,5394,2022,"M","55-59"
1,"Alabama",66312,4234,2022,"M","60-61"
1,"Alabama",96792,4175,2022,"M","62-64"
1,"Alabama",61035,3402,2022,"M","65-66"
